loss,mae,val_loss,val_mae
0.5912853479385376,0.577403724193573,0.3668116629123688,0.43899035453796387
0.3594505488872528,0.4363428056240082,0.2834182381629944,0.3739245533943176
0.30488285422325134,0.39673876762390137,0.2665804326534271,0.3589133024215698
0.27918437123298645,0.377275675535202,0.25871145725250244,0.3577579855918884
0.2567079961299896,0.35963189601898193,0.24263471364974976,0.3392775356769562
0.2457817941904068,0.34943413734436035,0.2365560084581375,0.33627593517303467
0.23741918802261353,0.34214845299720764,0.24366053938865662,0.3387739658355713
0.22505684196949005,0.3330783247947693,0.23500597476959229,0.3324284851551056
0.21355196833610535,0.3240765333175659,0.23528555035591125,0.3346511721611023
0.20610110461711884,0.31663045287132263,0.22087453305721283,0.31969815492630005
0.20199106633663177,0.31357499957084656,0.21875,0.3166957497596741
0.19518962502479553,0.3076416850090027,0.22085505723953247,0.3189956545829773
0.18476274609565735,0.29828348755836487,0.21209023892879486,0.31277626752853394
0.181901216506958,0.29496240615844727,0.21233181655406952,0.31280702352523804
0.17804774641990662,0.2927321195602417,0.20674452185630798,0.30701959133148193
0.17396821081638336,0.28970175981521606,0.20089983940124512,0.2984456419944763
0.1703365296125412,0.2846563756465912,0.21423910558223724,0.3205595016479492
0.16305752098560333,0.2789921462535858,0.21074645221233368,0.30819258093833923
0.1605106145143509,0.27712002396583557,0.21301622688770294,0.3125649690628052
0.15692979097366333,0.2733616530895233,0.2029084861278534,0.3000260293483734
0.15385746955871582,0.2710072994232178,0.2012888342142105,0.2928725779056549
0.14895112812519073,0.26788029074668884,0.2083730399608612,0.30831775069236755
0.14754687249660492,0.26655638217926025,0.20150740444660187,0.2995929718017578
0.1440979540348053,0.2625904083251953,0.21018756926059723,0.3054299056529999
0.1405734121799469,0.26002395153045654,0.20523080229759216,0.30409350991249084
0.1389625072479248,0.2583851218223572,0.20520976185798645,0.29923000931739807
